Final Grade,group_name
7.958,In-person
7.65,In-person
7.82,In-person
7.48,Online
7.65,In-person
7.94,Online
5.946,In-person
5.946,In-person
7.874,In-person
7.28,Online
7.48,Online
7.48,Online
8.6,In-person
9.3,In-person
7.2,Online
7.58,In-person
5.5,Online
8.52,Online
8.24,In-person
7.77,In-person
5.946,In-person
8.278,In-person
8.76,Online
8.76,Online
8.41,Online
7.82,In-person
7.5,Online
8.04,Online
8.41,Online
8.48,Online
8.1,In-person
7.92,In-person
8.32,Online
7.62,In-person
7.82,In-person
7.89,Online
7.36,In-person
7.36,In-person
8.278,Online
7.804,In-person
7.92,Online
6.9,In-person
7.96,Online
7.92,In-person
8.38,Online
8.7,In-person
9.34,In-person
8.07,Online
7.906,In-person
8.6,In-person
7.634,In-person
9.3,In-person
7.786,In-person
6.92,In-person
7.58,In-person
7.72,In-person
7.36,In-person
7.72,Online
6.9,In-person
7.56,In-person
8.278,In-person
7.76,In-person
8.76,Online
7.92,In-person
7.77,In-person
8,In-person
8.56,In-person
7.806,In-person
7.94,Online
7.906,In-person
7.78,In-person
5.82,In-person
8,In-person
6.02,In-person
7.68,In-person
9.3,In-person
7.906,In-person
5.97,In-person
7.74,In-person
5.98,In-person
7.4,Online
8.52,Online
7.82,Online
7.82,Online
7.58,In-person
7.58,In-person
8.52,Online
7.56,In-person
6.88,In-person
7.36,Online
7.65,In-person
7.46,Online
7.82,In-person
7.52,In-person
8.278,In-person
8.76,Online
5.94,In-person